id,name,year,module_index
101,Narita_airport,2014,0
0,Hokkaido,2014,1
11,Chiba,2014,0
12,Tokyo,2014,0
26,Osaka,2014,2
25,Kyoto,2014,2
18,Yamanashi,2014,0
13,Kanagawa,2014,0
21,Shizuoka,2014,0
14,Niigata,2014,0
22,Aichi,2014,3
20,Gihu,2014,3
1,Aomori,2014,4
2,Iwate,2014,4
33,Hiroshima,2014,2
6,Fukushima,2014,0
28,Nara,2014,2
41,Nagasaki,2014,5
39,Fukuoka,2014,5
32,Okayama,2014,2
7,Ibaraki,2014,0
8,Tochigi,2014,0
4,Akita,2014,4
3,Miyagi,2014,4
5,Yamagata,2014,4
27,Hyogo,2014,2
19,Nagano,2014,3
10,Saitama,2014,0
16,Ishikawa,2014,3
36,Kagawa,2014,6
37,Ehime,2014,6
9,Gunma,2014,0
15,Toyama,2014,3
46,Okinawa,2014,7
23,Mie,2014,3
24,Shiga,2014,2
38,Kochi,2014,6
45,Kagoshima,2014,8
30,Tottori,2014,9
34,Yamaguchi,2014,5
43,Oita,2014,5
29,Wakayama,2014,2
42,Kumamoto,2014,5
40,Saga,2014,5
31,Shimane,2014,9
35,Tokushima,2014,6
44,Miyazaki,2014,8
17,Fukui,2014,3
102,Kansai_airport,2014,2
103,Chubu_airport,2014,3
104,Shinchitose_arport,2014,1
105,Asahikawa_airport,2014,1
106,Hakodate_airport,2014,1
107,Aomori_airport,2014,4
108,Sendai_airport,2014,4
109,Akita_airport,2014,4
110,Ibaraki_irport,2014,0
111,Haneda_airport,2014,0
112,Niigata_airport,2014,0
113,Toyama_airport,2014,3
114,Komatsu_airport,2014,3
115,Shizuoka_airport,2014,0
116,Yonago_airport,2014,9
117,Okayama_airport,2014,2
118,Hiroshima_airport,2014,2
119,Takamatsu_airport,2014,6
120,Matsuyama_airport,2014,6
121,Fukuoka_airport,2014,5
122,Saga_airport,2014,5
123,Nagasaki_airport,2014,5
124,Kumamoto_airport,2014,5
125,Oita_airport,2014,5
126,Miyazaki_airport,2014,8
127,Kagoshima_airport,2014,8
128,Naha_airport,2014,7
129,Ishigaki_airport,2014,7
201,Hakata_port,2014,5
900,Other_ports,2014,2
