prior_id,prior_name,destination_id,destination_name,year,module_index
101,Narita_airport,0,Hokkaido,2014,0
0,Hokkaido,0,Hokkaido,2014,0
0,Hokkaido,11,Chiba,2014,0
0,Hokkaido,12,Tokyo,2014,1
0,Hokkaido,26,Osaka,2014,2
26,Osaka,25,Kyoto,2014,2
11,Chiba,12,Tokyo,2014,1
12,Tokyo,11,Chiba,2014,1
12,Tokyo,12,Tokyo,2014,1
11,Chiba,18,Yamanashi,2014,1
18,Yamanashi,12,Tokyo,2014,1
11,Chiba,13,Kanagawa,2014,1
0,Hokkaido,13,Kanagawa,2014,1
13,Kanagawa,12,Tokyo,2014,1
12,Tokyo,21,Shizuoka,2014,1
21,Shizuoka,25,Kyoto,2014,2
25,Kyoto,26,Osaka,2014,2
26,Osaka,26,Osaka,2014,2
0,Hokkaido,14,Niigata,2014,1
14,Niigata,12,Tokyo,2014,1
0,Hokkaido,21,Shizuoka,2014,1
21,Shizuoka,12,Tokyo,2014,1
26,Osaka,0,Hokkaido,2014,0
26,Osaka,18,Yamanashi,2014,1
26,Osaka,22,Aichi,2014,2
22,Aichi,21,Shizuoka,2014,1
12,Tokyo,0,Hokkaido,2014,0
12,Tokyo,13,Kanagawa,2014,1
13,Kanagawa,0,Hokkaido,2014,0
12,Tokyo,20,Gihu,2014,3
20,Gihu,12,Tokyo,2014,1
0,Hokkaido,1,Aomori,2014,0
1,Aomori,0,Hokkaido,2014,4
1,Aomori,14,Niigata,2014,1
1,Aomori,2,Iwate,2014,4
2,Iwate,13,Kanagawa,2014,4
0,Hokkaido,22,Aichi,2014,0
22,Aichi,18,Yamanashi,2014,1
12,Tokyo,26,Osaka,2014,2
18,Yamanashi,22,Aichi,2014,1
22,Aichi,12,Tokyo,2014,1
26,Osaka,33,Hiroshima,2014,2
33,Hiroshima,12,Tokyo,2014,1
11,Chiba,0,Hokkaido,2014,0
11,Chiba,11,Chiba,2014,1
26,Osaka,11,Chiba,2014,1
12,Tokyo,6,Fukushima,2014,1
13,Kanagawa,13,Kanagawa,2014,1
12,Tokyo,18,Yamanashi,2014,1
18,Yamanashi,11,Chiba,2014,1
13,Kanagawa,11,Chiba,2014,1
12,Tokyo,22,Aichi,2014,1
22,Aichi,25,Kyoto,2014,2
25,Kyoto,12,Tokyo,2014,1
12,Tokyo,25,Kyoto,2014,2
25,Kyoto,28,Nara,2014,2
12,Tokyo,33,Hiroshima,2014,2
33,Hiroshima,13,Kanagawa,2014,1
12,Tokyo,41,Nagasaki,2014,5
41,Nagasaki,39,Fukuoka,2014,5
39,Fukuoka,26,Osaka,2014,2
26,Osaka,32,Okayama,2014,2
32,Okayama,26,Osaka,2014,2
26,Osaka,12,Tokyo,2014,1
12,Tokyo,7,Ibaraki,2014,1
7,Ibaraki,8,Tochigi,2014,1
12,Tokyo,8,Tochigi,2014,1
18,Yamanashi,0,Hokkaido,2014,0
1,Aomori,4,Akita,2014,4
4,Akita,3,Miyagi,2014,4
3,Miyagi,5,Yamagata,2014,4
5,Yamagata,27,Hyogo,2014,2
27,Hyogo,11,Chiba,2014,1
0,Hokkaido,19,Nagano,2014,1
19,Nagano,12,Tokyo,2014,1
19,Nagano,19,Nagano,2014,1
12,Tokyo,2,Iwate,2014,4
2,Iwate,26,Osaka,2014,2
0,Hokkaido,25,Kyoto,2014,2
26,Osaka,13,Kanagawa,2014,1
25,Kyoto,27,Hyogo,2014,2
11,Chiba,22,Aichi,2014,1
26,Osaka,21,Shizuoka,2014,1
21,Shizuoka,11,Chiba,2014,1
22,Aichi,11,Chiba,2014,1
25,Kyoto,11,Chiba,2014,1
0,Hokkaido,32,Okayama,2014,2
32,Okayama,28,Nara,2014,2
28,Nara,21,Shizuoka,2014,1
21,Shizuoka,13,Kanagawa,2014,1
13,Kanagawa,8,Tochigi,2014,1
8,Tochigi,7,Ibaraki,2014,1
7,Ibaraki,7,Ibaraki,2014,1
7,Ibaraki,10,Saitama,2014,1
10,Saitama,10,Saitama,2014,1
0,Hokkaido,33,Hiroshima,2014,2
33,Hiroshima,25,Kyoto,2014,2
26,Osaka,16,Ishikawa,2014,3
16,Ishikawa,19,Nagano,2014,3
19,Nagano,36,Kagawa,2014,6
36,Kagawa,12,Tokyo,2014,6
0,Hokkaido,37,Ehime,2014,6
37,Ehime,12,Tokyo,2014,6
0,Hokkaido,3,Miyagi,2014,4
3,Miyagi,12,Tokyo,2014,4
0,Hokkaido,6,Fukushima,2014,1
6,Fukushima,12,Tokyo,2014,1
6,Fukushima,26,Osaka,2014,2
0,Hokkaido,8,Tochigi,2014,1
8,Tochigi,12,Tokyo,2014,1
101,Narita_airport,9,Gunma,2014,1
9,Gunma,9,Gunma,2014,1
9,Gunma,10,Saitama,2014,1
10,Saitama,13,Kanagawa,2014,1
13,Kanagawa,7,Ibaraki,2014,1
9,Gunma,14,Niigata,2014,1
