id,name_j,name_e
0,北海道,Hokkaido
1,青森県,Aomori
2,岩手県,Iwate
3,宮城県,Miyagi
4,秋田県,Akita
5,山形県,Yamagata
6,福島県,Fukushima
7,茨城県,Ibaraki
8,栃木県,Tochigi
9,群馬県,Gunma
10,埼玉県,Saitama
11,千葉県,Chiba
12,東京都,Tokyo
13,神奈川県,Kanagawa
14,新潟県,Niigata
15,富山県,Toyama
16,石川県,Ishikawa
17,福井県,Fukui
18,山梨県,Yamanashi
19,長野県,Nagano
20,岐阜県,Gihu
21,静岡県,Shizuoka
22,愛知県,Aichi
23,三重県,Mie
24,滋賀県,Shiga
25,京都府,Kyoto
26,大阪府,Osaka
27,兵庫県,Hyogo
28,奈良県,Nara
29,和歌山県,Wakayama
30,鳥取県,Tottori
31,島根県,Shimane
32,岡山県,Okayama
33,広島県,Hiroshima
34,山口県,Yamaguchi
35,徳島県,Tokushima
36,香川県,Kagawa
37,愛媛県,Ehime
38,高知県,Kochi
39,福岡県,Fukuoka
40,佐賀県,Saga
41,長崎県,Nagasaki
42,熊本県,Kumamoto
43,大分県,Oita
44,宮崎県,Miyazaki
45,鹿児島県,Kagoshima
46,沖縄県,Okinawa
99,不明,Unknown_prefecture
101,成田空港,Narita_airport
102,関西空港,Kansai_airport
103,中部空港,Chubu_airport
104,新千歳空港,Shinchitose_arport
105,旭川空港,Asahikawa_airport
106,函館空港,Hakodate_airport
107,青森空港,Aomori_airport
108,仙台空港,Sendai_airport
109,秋田空港,Akita_airport
110,茨城空港,Ibaraki_irport
111,羽田空港,Haneda_airport
112,新潟空港,Niigata_airport
113,富山空港,Toyama_airport
114,小松空港,Komatsu_airport
115,静岡空港,Shizuoka_airport
116,米子空港,Yonago_airport
117,岡山空港,Okayama_airport
118,広島空港,Hiroshima_airport
119,高松空港,Takamatsu_airport
120,松山空港,Matsuyama_airport
121,福岡空港,Fukuoka_airport
122,佐賀空港,Saga_airport
123,長崎空港,Nagasaki_airport
124,熊本空港,Kumamoto_airport
125,大分空港,Oita_airport
126,宮崎空港,Miyazaki_airport
127,鹿児島空港,Kagoshima_airport
128,那覇空港,Naha_airport
129,石垣空港,Ishigaki_airport
130,北九州空港,Kitakyushu_airport
131,山口宇部空港,Yamaguchiube_airport
201,博多海港,Hakata_port
202,下関海港,Shimonoseki_port
203,厳原海港,Izuhara_port
900,その他空海港,Other_ports
999,不明空海港,Unknown_port
